#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,NAME ,ids,channel_id,channel_name,total_subscribers,total_views,total_videos
73,Volga Video @UCIeNlITYK46VkR7yIuTL8GQ,15M,-,India,,4.5M,,,UCIeNlITYK46VkR7yIuTL8GQ,Volga Video,16700000,9011884094,6158
74,Harsh Beniwal @UCVmEbEQUGXHVm-O9pqa3JWg,15M,10.30%,India,,4.5M,,,UCVmEbEQUGXHVm-O9pqa3JWg,Harsh Beniwal,16000000,1953527592,169
75,Fun For Kids TV - Hindi Rhymes @UCe3GjNY3Kqi8Xd6nT4JN_6w,14.5M,-,India,,4.4M,,,UCe3GjNY3Kqi8Xd6nT4JN_6w,Fun For Kids TV - Hindi Rhymes,19900000,8884459465,195
76,Gyan Gamingㅤ @UChXi_PlJkRMPYFQBOJ3MpxA,14.4M,-,India,Video Gaming,4.3M,,,UChXi_PlJkRMPYFQBOJ3MpxA,Gyan Gamingㅤ,16500000,2623124695,3790
77,Team Films Bhojpuri @UCB4SvelHl4qjFSNYfxhp-SQ,14.4M,-,India,,4.3M,,,UCB4SvelHl4qjFSNYfxhp-SQ,Team Films Bhojpuri,16400000,6866292648,20094
78,Shorts Break @UCgJ5_1F6yJhYLnyMszUdmUg,14.3M,4.30%,India,,4.3M,,,UCgJ5_1F6yJhYLnyMszUdmUg,Shorts Break,41400000,28845488643,639
79,SRK MUSIC @UCAH1Aw-mXgcB3t8uaqW4yTA,14.2M,-,India,,4.3M,,,UCAH1Aw-mXgcB3t8uaqW4yTA,SRK MUSIC,17300000,7168575099,5287
80,Mazhavil Manorama @UCUPD0jQo-EP0B1Nf4uzeIMA,14M,-,India,,4.2M,,,UCUPD0jQo-EP0B1Nf4uzeIMA,Mazhavil Manorama,18700000,20635511444,112617
81,DM - Desi Melodies @UC783dnzJqf2ghHp_pFLYbGA,14M,-,India,,4.2M,,,UC783dnzJqf2ghHp_pFLYbGA,DM - Desi Melodies,19400000,6968020542,199
82,ZEE5 @UCXOgAl4w-FQero1ERbGHpXQ,13.9M,-,India,,4.2M,,,UCXOgAl4w-FQero1ERbGHpXQ,ZEE5,15800000,20439291649,133546
83,Sony Music South @UCn4rEMqKtwBQ6-oEwbd4PcA,13.8M,-,India,,4.1M,,,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,17500000,12727076225,3573
84,MY FAMILY @UC4B6dDVB0Umrh5l4UgxUtyg,13.8M,0.10%,India,Celebrity,4.1M,,,UC4B6dDVB0Umrh5l4UgxUtyg,MY FAMILY,17300000,6895159058,339
85,Online Job @UCL3IoeeHKzWMxZxhmnmETjw,13.5M,-,India,,4.1M,,,UCL3IoeeHKzWMxZxhmnmETjw,Online Job,13600000,522971567,1180
86,infobells @UCU_AsfgtKjwR4qaSwgsWn-w,13.5M,-,India,,4.1M,,,UCU_AsfgtKjwR4qaSwgsWn-w,infobells,14300000,5538242076,593
87,The MriDul @UC0zXnLIFedO97pFsyMxZcFg,13.3M,-,India,,4M,,,UC0zXnLIFedO97pFsyMxZcFg,The MriDul,17700000,5446260249,200
88,MyMissAnand @UCpCWa9f5_J3PqY-_Lg-_QfQ,13.2M,0.20%,India,,4M,,,UCpCWa9f5_J3PqY-_Lg-_QfQ,MyMissAnand,13800000,5266629415,431
89,Anaysa @UCuN4A3GCUq5-0wJDSiJoxRQ,13.2M,0.10%,India,Fashion Beauty,4M,,,UCuN4A3GCUq5-0wJDSiJoxRQ,Anaysa,13600000,3606047852,620
90,NishaMadhulika @UCgoxyzvouZM-tCgsYzrYtyg,13.1M,-,India,,3.9M,,,UCgoxyzvouZM-tCgsYzrYtyg,NishaMadhulika,14300000,3211897104,2272
91,ETV Jabardasth @UCnoqvTW4YZExfDeq7_Wmd-w,13M,-,India,,3.9M,,,UCnoqvTW4YZExfDeq7_Wmd-w,ETV Jabardasth,14800000,14760948825,11946
92,Mythpat @UCx6F-rETGiz7xf_vkMmX2yQ,13M,-,India,Video Gaming,3.9M,,,UCx6F-rETGiz7xf_vkMmX2yQ,Mythpat,15300000,3526701760,398
93,Desi Gamers @UCuApqv2tNQ73S7gcfrfCSDw,13M,0.50%,India,,3.9M,,,UCuApqv2tNQ73S7gcfrfCSDw,Desi Gamers,15600000,2483237405,1424
94,Zee Bangla @UCeMsqI6jU9WE2ctsrbxbywQ,13M,-,India,,3.9M,,,UCeMsqI6jU9WE2ctsrbxbywQ,Zee Bangla,16900000,11260129184,143737
95,Lotus Music @UCJeeXUtsKBj89Ra1nszP4JQ,12.9M,-,India,Music,3.9M,,,UCJeeXUtsKBj89Ra1nszP4JQ,CookingShooking Hindi,13400000,1873566233,393
96,CookingShooking Hindi @UCTbNOCtAGaqOEnLMeo3JTeg,12.8M,-,India,,3.8M,,,UCTbNOCtAGaqOEnLMeo3JTeg,Zee Telugu,15800000,12647517839,162420
97,Zee Telugu @UC3PYGKK29qJ0zu-eEthHK4g,12.7M,-,India,,3.8M,,,UC3PYGKK29qJ0zu-eEthHK4g,Dear Sir,18200000,1720981931,851
98,Dear Sir @UC9dyrsYEmD4iGJ8Oz1G5dpw,12.7M,-,India,,3.8M,,,UC9dyrsYEmD4iGJ8Oz1G5dpw,T-Series Hamaar Bhojpuri,18300000,9088520266,10440
99,T-Series Hamaar Bhojpuri @UCpN-WGQgGsOrXm7nHXDdTDA,12.6M,-,India,,3.8M,,,UCpN-WGQgGsOrXm7nHXDdTDA,Health Time,12400000,1021153531,2167
100,Health Time @UCPMqs8vxEwbie26nFA3ykAw,12.6M,-,India,,3.8M,,,UCPMqs8vxEwbie26nFA3ykAw,,,,
